[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb?type=notebook&_=1591986328939 (son520804@98.224.219.152) 139.68ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/jupyter_authoring.js?v=20200612182512 (son520804@98.224.219.152) 12.80ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/playback.js?v=20200612182512 (son520804@98.224.219.152) 4.53ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/wrap_comments.js?v=20200612182512 (son520804@98.224.219.152) 4.54ms
[SingleUserNotebookApp | INFO] Kernel started: b2081821-259e-42d5-8b8f-077180c2993f
[SingleUserNotebookApp | INFO] 201 POST /user/son520804/api/sessions (son520804@98.224.219.152) 70.16ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb/checkpoints?_=1591986328940 (son520804@98.224.219.152) 76.07ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/widgets/notebook/js/extension.js?v=20200612182512 (son520804@98.224.219.152) 4.79ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/rise?_=1591986328942 (son520804@98.224.219.152) 3.44ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/livereveal?_=1591986328941 (son520804@98.224.219.152) 3.50ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591986328943 (son520804@98.224.219.152) 4.60ms
[SingleUserNotebookApp | INFO] Adapting from protocol version 5.1 (kernel b2081821-259e-42d5-8b8f-077180c2993f) to 5.3 (client).
[SingleUserNotebookApp | INFO] 101 GET /user/son520804/api/kernels/b2081821-259e-42d5-8b8f-077180c2993f/channels?session_id=d2524834350243458471cf4857bf403d (son520804@98.224.219.152) 448.21ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/nbgrader_version?version=0.5.6&_=1591986328944 (son520804@98.224.219.152) 1.33ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb?content=0&_=1591986328945 (son520804@98.224.219.152) 4.15ms
[SingleUserNotebookApp | INFO] Saving file at /Untitled.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/son520804/api/contents/Untitled.ipynb (son520804@98.224.219.152) 271.19ms
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[SingleUserNotebookApp | INFO] Validating '/home/jovyan/etc_composition/config/extensions/Untitled.ipynb'
[SingleUserNotebookApp | INFO] Executing notebook with kernel: python3
[SingleUserNotebookApp | INFO] 200 POST /user/son520804/assignments/validate (son520804@98.224.219.152) 1369.83ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986314343 (son520804@98.224.219.152) 1.39ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986314342 (son520804@98.224.219.152) 1.51ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986314344 (son520804@98.224.219.152) 25.57ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/tree (son520804@98.224.219.152) 2.34ms
[SingleUserNotebookApp | INFO] New terminal with automatic name: 1
[SingleUserNotebookApp | INFO] 200 POST /user/son520804/api/terminals (son520804@98.224.219.152) 38.68ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/terminals/1 (son520804@98.224.219.152) 11.88ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.50ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.77ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/terminal?_=1591986347912 (son520804@98.224.219.152) 6.34ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591986347913 (son520804@98.224.219.152) 3.51ms
[SingleUserNotebookApp | INFO] 101 GET /user/son520804/terminals/websocket/1 (son520804@98.224.219.152) 1.28ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986314345 (son520804@98.224.219.152) 28.79ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986314346 (son520804@98.224.219.152) 4.66ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986314347 (son520804@98.224.219.152) 52.52ms
[SingleUserNotebookApp | CRITICAL] received signal 15, stopping
[SingleUserNotebookApp | CRITICAL] received signal 15, stopping
[SingleUserNotebookApp | INFO] Shutting down 1 kernel
[SingleUserNotebookApp | INFO] Kernel shutdown: b2081821-259e-42d5-8b8f-077180c2993f
[SingleUserNotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[SingleUserNotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[SingleUserNotebookApp | INFO] Starting jupyterhub-singleuser server version 1.0.0
[SingleUserNotebookApp | WARNING] jupyterhub version 0.9.6 != jupyterhub-singleuser version 1.0.0. This could cause failure to authenticate and result in redirect loops!
[SingleUserNotebookApp | INFO] Serving notebooks from local directory: /home/jovyan/etc_composition/config/extensions
[SingleUserNotebookApp | INFO] The Jupyter Notebook is running at:
[SingleUserNotebookApp | INFO] http://jupyter-son520804:8888/user/son520804/
[SingleUserNotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[SingleUserNotebookApp | WARNING] Activity events disabled
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/ -> /user/son520804/tree? (@172.16.116.202) 0.69ms
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/?redirects=1 -> /user/son520804/tree?redirects=1 (@98.224.219.152) 0.73ms
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/tree?redirects=1 -> /hub/api/oauth2/authorize?client_id=jupyterhub-user-son520804&redirect_uri=%2Fuser%2Fson520804%2Foauth_callback&response_type=code&state=[secret] (@98.224.219.152) 2.05ms
[SingleUserNotebookApp | INFO] Logged-in user {'kind': 'user', 'name': 'son520804', 'admin': False, 'groups': [], 'server': '/user/son520804/', 'pending': None, 'created': '2020-04-06T14:45:49.903317Z', 'last_activity': '2020-06-12T18:34:28.332108Z', 'servers': None}
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/oauth_callback?code=[secret]&state=[secret] -> /user/son520804/tree?redirects=1 (@98.224.219.152) 106.35ms
[SingleUserNotebookApp | ERROR] Could not open static file ''
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/tree?redirects=1 (son520804@98.224.219.152) 53.43ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 7.06ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.61ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/tree?_=1591986868965 (son520804@98.224.219.152) 4.52ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591986868966 (son520804@98.224.219.152) 3.19ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868967 (son520804@98.224.219.152) 0.79ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868968 (son520804@98.224.219.152) 1.89ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868969 (son520804@98.224.219.152) 1.09ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868970 (son520804@98.224.219.152) 42.23ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/nbgrader_version?version=0.5.6&_=1591986868971 (son520804@98.224.219.152) 1.11ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/api/kernels/b2081821-259e-42d5-8b8f-077180c2993f/channels?session_id=d2524834350243458471cf4857bf403d (98.224.219.152): Kernel does not exist: b2081821-259e-42d5-8b8f-077180c2993f
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/api/kernels/b2081821-259e-42d5-8b8f-077180c2993f/channels?session_id=d2524834350243458471cf4857bf403d (son520804@98.224.219.152) 10.55ms
[SingleUserNotebookApp | WARNING] Replacing stale connection: b2081821-259e-42d5-8b8f-077180c2993f:d2524834350243458471cf4857bf403d
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868972 (son520804@98.224.219.152) 2.10ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868973 (son520804@98.224.219.152) 1.28ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/notebooks/Untitled.ipynb (son520804@98.224.219.152) 340.21ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868974 (son520804@98.224.219.152) 44.84ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.71ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.77ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591986938798 (son520804@98.224.219.152) 5.46ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591986938799 (son520804@98.224.219.152) 2.19ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb?type=notebook&_=1591986938800 (son520804@98.224.219.152) 290.29ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/jupyter_authoring.js?v=20200612183423 (son520804@98.224.219.152) 9.82ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/playback.js?v=20200612183423 (son520804@98.224.219.152) 10.22ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/wrap_comments.js?v=20200612183423 (son520804@98.224.219.152) 10.65ms
[SingleUserNotebookApp | INFO] Kernel started: 2aaedde0-2aa9-430d-a2ba-1c8dfa7f01c3
[SingleUserNotebookApp | INFO] 201 POST /user/son520804/api/sessions (son520804@98.224.219.152) 63.35ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb/checkpoints?_=1591986938801 (son520804@98.224.219.152) 9.19ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/widgets/notebook/js/extension.js?v=20200612183423 (son520804@98.224.219.152) 4.15ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/livereveal?_=1591986938802 (son520804@98.224.219.152) 3.91ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591986938804 (son520804@98.224.219.152) 7.20ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/rise?_=1591986938803 (son520804@98.224.219.152) 8.40ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868975 (son520804@98.224.219.152) 2.06ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868976 (son520804@98.224.219.152) 4.50ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868977 (son520804@98.224.219.152) 15.32ms
[SingleUserNotebookApp | CRITICAL] Unwritable directory, please contact your instructor: /srv/nbgrader/exchange
[SingleUserNotebookApp | CRITICAL] Unwritable directory, please contact your instructor: /srv/nbgrader/exchange
[SingleUserNotebookApp | CRITICAL] Unwritable directory, please contact your instructor: /srv/nbgrader/exchange
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/formgrader (son520804@98.224.219.152) 15.77ms
[SingleUserNotebookApp | CRITICAL] Unwritable directory, please contact your instructor: /srv/nbgrader/exchange
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/formgrader/api/assignments (son520804@98.224.219.152) 11.10ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.48ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.84ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591986961982 (son520804@98.224.219.152) 3.14ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591986961983 (son520804@98.224.219.152) 2.45ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb?type=notebook&_=1591986961984 (son520804@98.224.219.152) 147.82ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/jupyter_authoring.js?v=20200612183423 (son520804@98.224.219.152) 8.07ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/wrap_comments.js?v=20200612183423 (son520804@98.224.219.152) 8.27ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/playback.js?v=20200612183423 (son520804@98.224.219.152) 8.43ms
[SingleUserNotebookApp | INFO] 201 POST /user/son520804/api/sessions (son520804@98.224.219.152) 1.51ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb/checkpoints?_=1591986961985 (son520804@98.224.219.152) 7.66ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/widgets/notebook/js/extension.js?v=20200612183423 (son520804@98.224.219.152) 2.59ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/livereveal?_=1591986961986 (son520804@98.224.219.152) 2.31ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/rise?_=1591986961987 (son520804@98.224.219.152) 3.56ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591986961988 (son520804@98.224.219.152) 2.66ms
[SingleUserNotebookApp | INFO] Adapting from protocol version 5.1 (kernel 2aaedde0-2aa9-430d-a2ba-1c8dfa7f01c3) to 5.3 (client).
[SingleUserNotebookApp | INFO] 101 GET /user/son520804/api/kernels/2aaedde0-2aa9-430d-a2ba-1c8dfa7f01c3/channels?session_id=590d6e6cc8fc45c19124ad9b0b051212 (son520804@98.224.219.152) 14.75ms
[SingleUserNotebookApp | INFO] Starting buffering for 2aaedde0-2aa9-430d-a2ba-1c8dfa7f01c3:590d6e6cc8fc45c19124ad9b0b051212
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868978 (son520804@98.224.219.152) 1.37ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868979 (son520804@98.224.219.152) 0.98ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868980 (son520804@98.224.219.152) 14.72ms
[SingleUserNotebookApp | INFO] Kernel shutdown: 2aaedde0-2aa9-430d-a2ba-1c8dfa7f01c3
[SingleUserNotebookApp | INFO] 204 DELETE /user/son520804/api/sessions/356d1360-bd1f-4963-8da1-0dfdbe3817a7 (son520804@98.224.219.152) 418.95ms
[SingleUserNotebookApp | WARNING] delete /Untitled.ipynb
[SingleUserNotebookApp | INFO] 204 DELETE /user/son520804/api/contents/Untitled.ipynb (son520804@98.224.219.152) 28.56ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868981 (son520804@98.224.219.152) 1.26ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868982 (son520804@98.224.219.152) 19.99ms
[SingleUserNotebookApp | INFO] Creating new notebook in 
[SingleUserNotebookApp | INFO] 201 POST /user/son520804/api/contents (son520804@98.224.219.152) 456.79ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/notebooks/Untitled.ipynb?kernel_name=python3 (son520804@98.224.219.152) 242.23ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.93ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.82ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591987004051 (son520804@98.224.219.152) 5.52ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591987004052 (son520804@98.224.219.152) 2.43ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb?type=notebook&_=1591987004053 (son520804@98.224.219.152) 130.31ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/jupyter_authoring.js?v=20200612183423 (son520804@98.224.219.152) 11.82ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/playback.js?v=20200612183423 (son520804@98.224.219.152) 12.32ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/wrap_comments.js?v=20200612183423 (son520804@98.224.219.152) 12.22ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb/checkpoints?_=1591987004054 (son520804@98.224.219.152) 5.26ms
[SingleUserNotebookApp | INFO] Kernel started: 8f8940a0-34c3-4c61-95b0-58dff3281e36
[SingleUserNotebookApp | INFO] 201 POST /user/son520804/api/sessions (son520804@98.224.219.152) 45.73ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/nbextensions/widgets/notebook/js/extension.js?v=20200612183423 (son520804@98.224.219.152) 2.78ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/livereveal?_=1591987004055 (son520804@98.224.219.152) 2.66ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/rise?_=1591987004056 (son520804@98.224.219.152) 3.45ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591987004057 (son520804@98.224.219.152) 3.26ms
[SingleUserNotebookApp | INFO] Adapting from protocol version 5.1 (kernel 8f8940a0-34c3-4c61-95b0-58dff3281e36) to 5.3 (client).
[SingleUserNotebookApp | INFO] 101 GET /user/son520804/api/kernels/8f8940a0-34c3-4c61-95b0-58dff3281e36/channels?session_id=3c29f08398244c8888855965ba6830fd (son520804@98.224.219.152) 396.91ms
[SingleUserNotebookApp | WARNING] Replacing stale connection: b2081821-259e-42d5-8b8f-077180c2993f:d2524834350243458471cf4857bf403d
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868983 (son520804@98.224.219.152) 2.24ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868984 (son520804@98.224.219.152) 5.29ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868985 (son520804@98.224.219.152) 51.56ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/tree (son520804@98.224.219.152) 2.56ms
[SingleUserNotebookApp | INFO] New terminal with automatic name: 1
[SingleUserNotebookApp | INFO] 200 POST /user/son520804/api/terminals (son520804@98.224.219.152) 53.28ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 2.30ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/terminals/1 (son520804@98.224.219.152) 9.16ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.70ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.72ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/terminal?_=1591987070257 (son520804@98.224.219.152) 8.50ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591987070258 (son520804@98.224.219.152) 2.98ms
[SingleUserNotebookApp | INFO] 101 GET /user/son520804/terminals/websocket/1 (son520804@98.224.219.152) 1.09ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb?content=0&_=1591987004058 (son520804@98.224.219.152) 4.35ms
[SingleUserNotebookApp | INFO] Saving file at /Untitled.ipynb
[SingleUserNotebookApp | INFO] 200 PUT /user/son520804/api/contents/Untitled.ipynb (son520804@98.224.219.152) 439.75ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868986 (son520804@98.224.219.152) 34.14ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868987 (son520804@98.224.219.152) 1.41ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868988 (son520804@98.224.219.152) 22.27ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868989 (son520804@98.224.219.152) 17.65ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/module?type=directory&_=1591986868990 (son520804@98.224.219.152) 18.81ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868991 (son520804@98.224.219.152) 20.67ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/external?type=directory&_=1591986868992 (son520804@98.224.219.152) 17.05ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868993 (son520804@98.224.219.152) 15.14ms
[SingleUserNotebookApp | INFO] 302 GET /user/son520804/terminals/1 -> /hub/api/oauth2/authorize?client_id=jupyterhub-user-son520804&redirect_uri=%2Fuser%2Fson520804%2Foauth_callback&response_type=code&state=[secret] (@23.228.130.134) 1.18ms
[SingleUserNotebookApp | INFO] Starting buffering for 8f8940a0-34c3-4c61-95b0-58dff3281e36:3c29f08398244c8888855965ba6830fd
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/terminals?_=1591986868995 (son520804@98.224.219.152) 1.02ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/sessions?_=1591986868994 (son520804@98.224.219.152) 1.56ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents?type=directory&_=1591986868996 (son520804@98.224.219.152) 57.14ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 1.80ms
[SingleUserNotebookApp | WARNING] 404 GET /user/son520804/static/components/react/react-dom.production.min.js (son520804@98.224.219.152) 2.58ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/notebook?_=1591987471916 (son520804@98.224.219.152) 13.50ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/common?_=1591987471917 (son520804@98.224.219.152) 8.47ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb?type=notebook&_=1591987471918 (son520804@98.224.219.152) 151.58ms
[SingleUserNotebookApp | INFO] 201 POST /user/son520804/api/sessions (son520804@98.224.219.152) 1.57ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/contents/Untitled.ipynb/checkpoints?_=1591987471919 (son520804@98.224.219.152) 7.50ms
[SingleUserNotebookApp | INFO] Adapting from protocol version 5.1 (kernel 8f8940a0-34c3-4c61-95b0-58dff3281e36) to 5.3 (client).
[SingleUserNotebookApp | INFO] 101 GET /user/son520804/api/kernels/8f8940a0-34c3-4c61-95b0-58dff3281e36/channels?session_id=7936497da9d4416cb65f0e17d8466a89 (son520804@98.224.219.152) 2.72ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/livereveal?_=1591987471920 (son520804@98.224.219.152) 17.01ms
[SingleUserNotebookApp | INFO] 200 GET /user/son520804/api/config/rise?_=1591987471921 (son520804@98.224.219.152) 8.16ms
